,regions,product,year,value
459,Northern Mariana Islands,        Refined petroleum products (Mb/d),1980,
460,Northern Mariana Islands,            Distillate fuel oil (Mb/d),1980,
461,Northern Mariana Islands,            Residual fuel oil (Mb/d),1980,
462,Norway,        Refined petroleum products (Mb/d),1980,6
463,Norway,            Distillate fuel oil (Mb/d),1980,
464,Norway,            Residual fuel oil (Mb/d),1980,3
465,Oman,        Refined petroleum products (Mb/d),1980,
466,Oman,            Distillate fuel oil (Mb/d),1980,
467,Oman,            Residual fuel oil (Mb/d),1980,
468,Pakistan,        Refined petroleum products (Mb/d),1980,
469,Pakistan,            Distillate fuel oil (Mb/d),1980,
470,Pakistan,            Residual fuel oil (Mb/d),1980,
471,Palestinian Territories,        Refined petroleum products (Mb/d),1980,
472,Palestinian Territories,            Distillate fuel oil (Mb/d),1980,
473,Palestinian Territories,            Residual fuel oil (Mb/d),1980,
474,Panama,        Refined petroleum products (Mb/d),1980,
475,Panama,            Distillate fuel oil (Mb/d),1980,
476,Panama,            Residual fuel oil (Mb/d),1980,
477,Papua New Guinea,        Refined petroleum products (Mb/d),1980,
478,Papua New Guinea,            Distillate fuel oil (Mb/d),1980,
479,Papua New Guinea,            Residual fuel oil (Mb/d),1980,
480,Paraguay,        Refined petroleum products (Mb/d),1980,
481,Paraguay,            Distillate fuel oil (Mb/d),1980,
482,Paraguay,            Residual fuel oil (Mb/d),1980,
483,Peru,        Refined petroleum products (Mb/d),1980,
484,Peru,            Distillate fuel oil (Mb/d),1980,
485,Peru,            Residual fuel oil (Mb/d),1980,
486,Philippines,        Refined petroleum products (Mb/d),1980,
487,Philippines,            Distillate fuel oil (Mb/d),1980,
488,Philippines,            Residual fuel oil (Mb/d),1980,
